datatype: torch.float16 ; i: 0
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.044ms         2.52%       1.044ms      15.823us            66  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.039ms         2.50%       1.039ms      15.513us            67  
                                              aten::add         2.86%       2.049ms         9.53%       6.840ms      34.900us     938.240us         2.26%     938.240us       4.787us           196  
                                             aten::mean         3.88%       2.781ms         6.39%       4.582ms      70.490us     902.720us         2.18%     902.720us      13.888us            65  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us     902.720us         2.18%     902.720us      13.888us            65  
                                             aten::topk         0.05%      34.574us         0.15%     107.695us     107.695us     744.320us         1.79%     744.320us     744.320us             1  
at::native::xpu::SegmentedGroupRadixSelectPairsFunct...         0.00%       0.000us         0.00%       0.000us       0.000us     715.520us         1.72%     715.520us     715.520us             1  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     506.720us         1.22%     506.720us       3.928us           129  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     402.880us         0.97%     402.880us       6.295us            64  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     363.520us         0.88%     363.520us       5.593us            65  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     338.240us         0.81%     338.240us       5.285us            64  
                     aten::scaled_dot_product_attention         0.26%     187.095us         4.59%       3.291ms     102.833us       0.000us         0.00%     330.240us      10.320us            32  
aten::_scaled_dot_product_fused_attention_overrideab...         2.37%       1.701ms         4.33%       3.104ms      96.986us     330.240us         0.80%     330.240us      10.320us            32  
                                             micro_sdpa         0.00%       0.000us         0.00%       0.000us       0.000us     330.240us         0.80%     330.240us      10.320us            32  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     304.640us         0.73%     304.640us       4.760us            64  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     269.280us         0.65%     269.280us       8.415us            32  
                                             aten::silu         0.50%     357.612us         1.47%       1.054ms      32.939us     268.960us         0.65%     268.960us       8.405us            32  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     268.960us         0.65%     268.960us       8.405us            32  
                                              aten::neg         0.82%     588.281us         2.71%       1.942ms      30.348us     260.640us         0.63%     260.640us       4.072us            64  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     260.640us         0.63%     260.640us       4.072us            64  
                                              aten::pow         1.04%     748.293us         3.41%       2.447ms      37.641us     254.880us         0.61%     254.880us       3.921us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     254.880us         0.61%     254.880us       3.921us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     217.920us         0.53%     217.920us       3.353us            65  
                                            aten::rsqrt         0.76%     545.603us         3.14%       2.252ms      34.653us     207.040us         0.50%     207.040us       3.185us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     207.040us         0.50%     207.040us       3.185us            65  
                                             aten::sort         0.19%     139.308us         1.83%       1.310ms       1.310ms     152.160us         0.37%     155.360us     155.360us             1  
                                      aten::multinomial         0.05%      34.003us         0.79%     570.232us     570.232us       0.000us         0.00%     149.280us     149.280us             1  
                                          aten::softmax         0.01%       4.912us         0.30%     214.319us     107.159us       0.000us         0.00%     110.240us      55.120us             2  
                                         aten::_softmax         0.17%     122.626us         0.29%     209.407us     104.704us     110.240us         0.27%     110.240us      55.120us             2  
at::native::xpu::impl::SoftmaxForwardKernelFunctor<4...         0.00%       0.000us         0.00%       0.000us       0.000us     110.240us         0.27%     110.240us      55.120us             2  
at::native::xpu::SegmentedRadixSortPairsDownsweepFun...         0.00%       0.000us         0.00%       0.000us       0.000us      81.760us         0.20%      81.760us      10.220us             8  
                                             aten::isin         0.05%      37.715us         0.87%     620.830us     310.415us       0.000us         0.00%      70.880us      35.440us             2  
                                              aten::any         0.31%     219.906us         0.57%     407.862us      67.977us      55.680us         0.13%      63.680us      10.613us             6  
                                           aten::argmax         0.05%      32.342us         0.08%      57.281us      57.281us      47.520us         0.11%      47.520us      47.520us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      47.520us         0.11%      47.520us      47.520us             1  
at::native::xpu::SegmentedRadixSortPairsUpsweepFunct...         0.00%       0.000us         0.00%       0.000us       0.000us      40.800us         0.10%      40.800us       5.100us             8  
                                            aten::fill_         0.17%     121.610us         0.56%     401.662us      50.208us      38.560us         0.09%      38.560us       4.820us             8  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      36.640us         0.09%      36.640us      12.213us             3  
                                           aten::cumsum         0.20%     140.645us         0.50%     356.543us     178.272us      34.080us         0.08%      34.080us      17.040us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      31.200us         0.08%      31.200us       5.200us             6  
at::native::xpu::SegmentedRadixSortPairsScanFunctor<...         0.00%       0.000us         0.00%       0.000us       0.000us      29.600us         0.07%      29.600us       3.700us             8  
at::native::xpu::SegmentedGroupRadixSortPairsFunctor...         0.00%       0.000us         0.00%       0.000us       0.000us      28.800us         0.07%      28.800us      28.800us             1  
                                          aten::aminmax         0.06%      40.210us         0.10%      69.200us      69.200us      27.200us         0.07%      27.200us      27.200us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      27.200us         0.07%      27.200us      27.200us             1  
                                      aten::masked_fill         0.02%      15.037us         0.39%     279.143us      93.048us       0.000us         0.00%      26.720us       8.907us             3  
                                              aten::sum         0.06%      41.703us         0.10%      68.771us      68.771us      25.440us         0.06%      25.440us      25.440us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      25.440us         0.06%      25.440us      25.440us             1  
                                               aten::eq         0.13%      90.744us         0.30%     216.327us      43.265us      25.120us         0.06%      25.120us       5.024us             5  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      24.800us         0.06%      24.800us       6.200us             4  
at::native::xpu::ReduceKernel<2, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      19.040us         0.05%      19.040us      19.040us             1  
                                          aten::scatter         0.08%      55.637us         0.15%     110.139us     110.139us      11.200us         0.03%      18.720us      18.720us             1  
                                               aten::lt         0.07%      49.297us         0.19%     133.470us      44.490us      18.560us         0.04%      18.560us       6.187us             3  
                                      aten::bitwise_and         0.04%      28.994us         0.11%      77.194us      38.597us      18.560us         0.04%      18.560us       9.280us             2  
at::native::xpu::CatArrayBatchedCopy_contig<at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.760us         0.04%      17.760us       5.920us             3  
                                            aten::clone         0.02%      12.683us         0.26%     185.921us      46.480us       0.000us         0.00%      16.320us       4.080us             4  
                                           aten::__or__         0.00%       3.221us         0.10%      69.453us      34.726us       0.000us         0.00%      15.680us       7.840us             2  
                                       aten::bitwise_or         0.04%      25.386us         0.09%      66.232us      33.116us      15.680us         0.04%      15.680us       7.840us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      15.680us         0.04%      15.680us       7.840us             2  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us      14.720us         0.04%      14.720us      14.720us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us      14.400us         0.03%      14.400us       7.200us             2  
                                              aten::max         0.07%      48.062us         0.11%      76.771us      76.771us      14.240us         0.03%      14.240us      14.240us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      14.240us         0.03%      14.240us      14.240us             1  
                                     aten::masked_fill_         0.06%      41.339us         0.17%     124.500us      41.500us      13.760us         0.03%      13.760us       4.587us             3  
                                              aten::all         0.10%      71.778us         0.15%     109.687us     109.687us      12.160us         0.03%      12.160us      12.160us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      12.160us         0.03%      12.160us      12.160us             1  
                                      aten::bitwise_not         0.03%      22.995us         0.09%      64.170us      32.085us      11.520us         0.03%      11.520us       5.760us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      11.520us         0.03%      11.520us       5.760us             2  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us      11.200us         0.03%      11.200us       5.600us             2  
at::native::xpu::ScatterGatherElementwiseKernelFunct...         0.00%       0.000us         0.00%       0.000us       0.000us      11.200us         0.03%      11.200us      11.200us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      11.200us         0.03%      11.200us       3.733us             3  
                                              aten::div         0.05%      34.688us         0.13%      90.635us      45.317us      10.880us         0.03%      10.880us       5.440us             2  
                                          aten::__and__         0.00%       1.693us         0.06%      40.284us      40.284us       0.000us         0.00%      10.880us      10.880us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us      10.880us         0.03%      10.880us      10.880us             1  
at::native::xpu::CatArrayBatchedCopy<at::native::xpu...         0.00%       0.000us         0.00%       0.000us       0.000us      10.560us         0.03%      10.560us      10.560us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.920us         0.02%       9.920us       3.307us             3  
                                              aten::cos         0.03%      23.224us         0.08%      57.274us      57.274us       9.920us         0.02%       9.920us       9.920us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.920us         0.02%       9.920us       9.920us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.600us         0.02%       9.600us       4.800us             2  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us       9.600us         0.02%       9.600us       9.600us             1  
                                              aten::sin         0.03%      18.686us         0.07%      52.709us      52.709us       9.280us         0.02%       9.280us       9.280us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.280us         0.02%       9.280us       9.280us             1  
                                              aten::sub         0.05%      37.429us         0.13%      90.916us      45.458us       8.800us         0.02%       8.800us       4.400us             2  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.640us         0.02%       8.640us       4.320us             2  
                                     aten::exponential_         0.02%      14.976us         0.05%      38.887us      38.887us       8.640us         0.02%       8.640us       8.640us             1  
at::native::xpu::DistributionElementwiseKernelFuncto...         0.00%       0.000us         0.00%       0.000us       0.000us       8.640us         0.02%       8.640us       8.640us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.640us         0.02%       8.640us       4.320us             2  
                                             aten::item         0.01%       8.277us         0.66%     471.101us      78.517us       0.000us         0.00%       8.560us       1.427us             6  
                              aten::_local_scalar_dense         0.30%     218.039us         0.65%     462.824us      77.137us       8.560us         0.02%       8.560us       1.427us             6  
                 Memcpy D2M (DEVICE -> MEMORY(Unknown))         0.00%       0.000us         0.00%       0.000us       0.000us       8.560us         0.02%       8.560us       1.427us             6  
                                              aten::bmm         0.22%     158.960us         0.28%     199.891us     199.891us       8.480us         0.02%       8.480us       8.480us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.480us         0.02%       8.480us       4.240us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.320us         0.02%       8.320us       4.160us             2  
                                        aten::embedding         0.02%      12.719us         0.12%      85.674us      85.674us       0.000us         0.00%       8.160us       8.160us             1  
                                     aten::index_select         0.04%      28.641us         0.10%      68.968us      68.968us       8.160us         0.02%       8.160us       8.160us             1  
at::native::xpu::IndexKernel<at::native::xpu::IndexK...         0.00%       0.000us         0.00%       0.000us       0.000us       8.160us         0.02%       8.160us       8.160us             1  
                                             aten::full         0.01%       4.184us         0.08%      59.374us      29.687us       0.000us         0.00%       8.160us       4.080us             2  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.02%       8.000us       8.000us             1  
                                           aten::arange         0.03%      20.966us         0.19%     134.757us      67.379us       4.000us         0.01%       8.000us       4.000us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us       7.680us         0.02%       7.680us       7.680us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       7.520us         0.02%       7.520us       3.760us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       7.360us         0.02%       7.360us       3.680us             2  
                                    aten::_assert_async         0.02%      15.652us         0.08%      54.431us      27.216us       6.720us         0.02%       6.720us       3.360us             2  
       at::native::xpu::AssertAsyncKernelFunctor1<bool>         0.00%       0.000us         0.00%       0.000us       0.000us       6.720us         0.02%       6.720us       3.360us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       6.400us         0.02%       6.400us       6.400us             1  
                                       aten::is_nonzero         0.01%       6.473us         0.61%     434.478us      86.896us       0.000us         0.00%       6.320us       1.264us             5  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       6.080us         0.01%       6.080us       6.080us             1  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.920us         0.01%       5.920us       5.920us             1  
at::native::xpu::AccumulateCarrierKernelFunctor<at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.440us         0.01%       5.440us       5.440us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.120us         0.01%       5.120us       5.120us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.800us         0.01%       4.800us       4.800us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.800us         0.01%       4.800us       4.800us             1  
                                               aten::le         0.03%      21.099us         0.08%      59.357us      59.357us       4.640us         0.01%       4.640us       4.640us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.320us         0.01%       4.320us       4.320us             1  
                                             aten::rsub         0.01%       4.687us         0.06%      43.427us      43.427us       0.000us         0.00%       4.160us       4.160us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.160us         0.01%       4.160us       4.160us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.160us         0.01%       4.160us       4.160us             1  
                                         aten::new_ones         0.01%       5.106us         0.07%      53.029us      53.029us       0.000us         0.00%       4.000us       4.000us             1  
at::native::xpu::ElementwiseKernelWithIndexFunctor<i...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.01%       4.000us       4.000us             1  
                                    aten::scalar_tensor         0.00%       3.577us         0.06%      41.101us      41.101us       0.000us         0.00%       4.000us       4.000us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.01%       4.000us       4.000us             1  
                                             aten::ones         0.01%       5.959us         0.09%      62.928us      62.928us       0.000us         0.00%       3.360us       3.360us             1  
                                               aten::ge         0.02%      12.438us         0.04%      31.953us      31.953us       2.720us         0.01%       2.720us       2.720us             1  
                 Memcpy M2D (MEMORY(Unknown) -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us       1.200us         0.00%       1.200us       0.600us             2  
                                            aten::empty         0.53%     383.017us         0.53%     383.017us       1.035us       0.000us         0.00%       0.000us       0.000us           370  
                                    aten::empty_strided         0.38%     272.158us         0.38%     272.158us       1.163us       0.000us         0.00%       0.000us       0.000us           234  
                                     urEnqueueUSMMemcpy         0.98%     705.700us         1.14%     815.426us     101.928us       0.000us         0.00%       0.000us       0.000us             8  
                                zeMemGetAllocProperties         0.37%     263.053us         0.37%     263.053us       0.109us       0.000us         0.00%       0.000us       0.000us          2408  
                                       zeEventHostReset         0.47%     338.772us         0.47%     338.772us       0.241us       0.000us         0.00%       0.000us       0.000us          1404  
                          zeCommandListAppendMemoryCopy         0.14%      98.307us         0.14%      98.307us      12.288us       0.000us         0.00%       0.000us       0.000us             8  
                                 zeEventHostSynchronize         0.13%      96.145us         0.13%      96.145us      12.018us       0.000us         0.00%       0.000us       0.000us             8  
                                       aten::lift_fresh         0.01%       8.850us         0.01%       8.850us       0.134us       0.000us         0.00%       0.000us       0.000us            66  
                                          aten::detach_         0.06%      42.070us         0.11%      78.697us       1.192us       0.000us         0.00%       0.000us       0.000us            66  
                                                detach_         0.05%      36.627us         0.05%      36.627us       0.555us       0.000us         0.00%       0.000us       0.000us            66  
                                           aten::select         0.04%      27.250us         0.05%      32.404us       8.101us       0.000us         0.00%       0.000us       0.000us             4  
                                       aten::as_strided         0.48%     345.560us         0.48%     345.560us       0.538us       0.000us         0.00%       0.000us       0.000us           642  
                                           aten::detach         0.00%       1.426us         0.01%       6.475us       6.475us       0.000us         0.00%       0.000us       0.000us             1  
                                                 detach         0.01%       5.049us         0.01%       5.049us       5.049us       0.000us         0.00%       0.000us       0.000us             1  
                       urEnqueueKernelLaunchWithArgsExp        46.96%      33.691ms        55.03%      39.482ms      28.283us       0.000us         0.00%       0.000us       0.000us          1396  
                               zeKernelSetArgumentValue         1.77%       1.273ms         1.77%       1.273ms       0.131us       0.000us         0.00%       0.000us       0.000us          9753  
                                   zeKernelSetGroupSize         0.09%      63.787us         0.09%      63.787us       0.046us       0.000us         0.00%       0.000us       0.000us          1396  
                        zeCommandListAppendLaunchKernel         5.74%       4.119ms         5.74%       4.119ms       2.951us       0.000us         0.00%       0.000us       0.000us          1396  
                                        aten::unsqueeze         0.21%     150.553us         0.27%     190.381us       1.410us       0.000us         0.00%       0.000us       0.000us           135  
                                             aten::view         0.53%     380.160us         0.53%     380.160us       0.892us       0.000us         0.00%       0.000us       0.000us           426  
                                  zeKernelGetProperties         0.04%      28.833us         0.04%      28.833us       0.352us       0.000us         0.00%       0.000us       0.000us            82  
                                       aten::empty_like         0.06%      40.510us         0.12%      82.741us       2.236us       0.000us         0.00%       0.000us       0.000us            37  
                                            aten::slice         0.37%     262.073us         0.45%     321.167us       2.415us       0.000us         0.00%       0.000us       0.000us           133  
                                          aten::reshape         0.20%     144.924us         0.50%     360.423us       1.386us       0.000us         0.00%       0.000us       0.000us           260  
                                          aten::resize_         0.09%      63.527us         0.09%      63.527us       0.275us       0.000us         0.00%       0.000us       0.000us           231  
                                            aten::alias         0.01%       5.768us         0.01%       5.768us       5.768us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.02%      11.676us         0.02%      12.651us       3.163us       0.000us         0.00%       0.000us       0.000us             4  
                                     aten::_unsafe_view         0.23%     164.629us         0.23%     164.629us       0.728us       0.000us         0.00%       0.000us       0.000us           226  
                                        aten::transpose         0.46%     332.504us         0.79%     568.338us       1.605us       0.000us         0.00%       0.000us       0.000us           354  
                                      aten::result_type         0.04%      29.224us         0.04%      29.224us       0.450us       0.000us         0.00%       0.000us       0.000us            65  
                                                aten::t         0.51%     368.251us         0.95%     682.254us       3.032us       0.000us         0.00%       0.000us       0.000us           225  
                                     zeEventQueryStatus         0.01%       3.703us         0.01%       3.703us       1.851us       0.000us         0.00%       0.000us       0.000us             2  
                                        aten::new_empty         0.00%       1.650us         0.00%       2.681us       2.681us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::view_as         0.00%       1.325us         0.00%       2.194us       2.194us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::squeeze         0.01%       6.130us         0.01%       6.530us       6.530us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 71.742ms
Self XPU time total: 41.502ms

datatype: torch.float16 ; i: 2
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.73%     536.696us        30.24%      22.214ms      98.293us       0.000us         0.00%      31.597ms     139.810us           226  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      31.597ms        75.80%      31.597ms     139.810us           226  
                                           aten::linear         0.32%     234.810us        31.13%      22.866ms     101.629us       0.000us         0.00%      31.589ms     140.395us           225  
                                               aten::mm        14.46%      10.622ms        28.54%      20.963ms      93.169us      31.589ms        75.78%      31.589ms     140.395us           225  
                                            aten::copy_         2.07%       1.520ms         7.98%       5.865ms      27.796us       2.150ms         5.16%       2.150ms      10.190us           211  
                                               aten::to         0.20%     145.878us         8.48%       6.229ms      22.650us       0.000us         0.00%       2.104ms       7.651us           275  
                                         aten::_to_copy         0.53%     387.115us         8.28%       6.083ms      30.263us       0.000us         0.00%       2.104ms      10.468us           201  
                                              aten::cat         1.63%       1.196ms         5.76%       4.233ms      32.067us       1.804ms         4.33%       1.804ms      13.665us           132  
at::native::xpu::CatArrayBatchedCopy<at::native::xpu...         0.00%       0.000us         0.00%       0.000us       0.000us       1.775ms         4.26%       1.775ms      13.870us           128  
                                              aten::mul         3.64%       2.671ms        13.11%       9.631ms      32.759us       1.463ms         3.51%       1.463ms       4.976us           294  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.059ms         2.54%       1.059ms      16.051us            66  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.030ms         2.47%       1.030ms      15.367us            67  
                                              aten::add         2.85%       2.091ms        10.24%       7.521ms      38.371us       1.004ms         2.41%       1.004ms       5.121us           196  
                                             aten::mean         3.84%       2.822ms         6.37%       4.679ms      71.978us     898.720us         2.16%     898.720us      13.826us            65  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us     898.720us         2.16%     898.720us      13.826us            65  
                                             aten::topk         0.05%      38.813us         0.16%     116.615us     116.615us     767.840us         1.84%     767.840us     767.840us             1  
at::native::xpu::SegmentedGroupRadixSelectPairsFunct...         0.00%       0.000us         0.00%       0.000us       0.000us     738.240us         1.77%     738.240us     738.240us             1  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     505.280us         1.21%     505.280us       3.917us           129  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     448.320us         1.08%     448.320us       7.005us            64  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     365.280us         0.88%     365.280us       5.620us            65  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     336.000us         0.81%     336.000us       5.250us            64  
                     aten::scaled_dot_product_attention         0.27%     195.105us         4.53%       3.327ms     103.972us       0.000us         0.00%     326.560us      10.205us            32  
aten::_scaled_dot_product_fused_attention_overrideab...         2.33%       1.714ms         4.26%       3.132ms      97.875us     326.560us         0.78%     326.560us      10.205us            32  
                                             micro_sdpa         0.00%       0.000us         0.00%       0.000us       0.000us     326.560us         0.78%     326.560us      10.205us            32  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     324.000us         0.78%     324.000us       5.063us            64  
                                             aten::silu         0.50%     364.870us         1.45%       1.069ms      33.399us     267.200us         0.64%     267.200us       8.350us            32  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     267.200us         0.64%     267.200us       8.350us            32  
                                              aten::neg         0.80%     585.811us         2.68%       1.972ms      30.812us     257.120us         0.62%     257.120us       4.018us            64  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     257.120us         0.62%     257.120us       4.018us            64  
                                              aten::pow         1.04%     763.124us         3.27%       2.404ms      36.980us     253.920us         0.61%     253.920us       3.906us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     253.920us         0.61%     253.920us       3.906us            65  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     239.840us         0.58%     239.840us       7.495us            32  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     217.280us         0.52%     217.280us       3.343us            65  
                                            aten::rsqrt         0.76%     556.558us         3.06%       2.248ms      34.588us     198.080us         0.48%     198.080us       3.047us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     198.080us         0.48%     198.080us       3.047us            65  
                                             aten::sort         0.19%     137.117us         1.76%       1.291ms       1.291ms     151.200us         0.36%     154.080us     154.080us             1  
                                      aten::multinomial         0.07%      50.563us         0.87%     642.334us     642.334us       0.000us         0.00%     148.800us     148.800us             1  
                                          aten::softmax         0.01%       6.437us         0.35%     257.476us     128.738us       0.000us         0.00%     109.600us      54.800us             2  
                                         aten::_softmax         0.21%     156.376us         0.34%     251.039us     125.520us     109.600us         0.26%     109.600us      54.800us             2  
at::native::xpu::impl::SoftmaxForwardKernelFunctor<4...         0.00%       0.000us         0.00%       0.000us       0.000us     109.600us         0.26%     109.600us      54.800us             2  
at::native::xpu::SegmentedRadixSortPairsDownsweepFun...         0.00%       0.000us         0.00%       0.000us       0.000us      80.960us         0.19%      80.960us      10.120us             8  
                                             aten::isin         0.07%      49.128us         1.09%     801.739us     400.869us       0.000us         0.00%      65.920us      32.960us             2  
                                              aten::any         0.36%     261.177us         0.64%     470.139us      78.357us      47.680us         0.11%      56.000us       9.333us             6  
                                           aten::argmax         0.06%      41.326us         0.09%      67.516us      67.516us      46.880us         0.11%      46.880us      46.880us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      46.880us         0.11%      46.880us      46.880us             1  
